,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/07/2026 14:02:00,43.08,12.31,46.15,13.85,29.23,15.38,61.54,18.46,41.54,30.77,27.69,35.38,31.28,61.54,21.5771313,3224,1206,1763,1208,17.666666,3.52541566,1.31875,1763,974.5,17.666666,2.52917457,1.31875,3967,941,39.75,2.27929163,1.3,3967,1447.5,39.75,3.818506,1.3,3942,1354.5,39.5,3.3624742,1.28125,3942,1312,39.5,3.50454783,1.28125,85.125,1.55,1.55,99.80917
09/07/2026 14:02:02,12.5,9.38,7.81,9.38,12.5,7.81,29.69,50,14.06,12.5,0,10.94,14.71,50,13.9019184,3668,558,4042,239.5,40.5,0.6738472,1.375,1797,397.5,18,1.23504722,1.375,4042,476,40.5,1.4378252,1.375,4042,1537,40.5,4.67491436,1.375,4042,514,40.5,1.0551163,1.375,4042,183,40.5,0.382478684,1.3625,85.375,1.55,1.55,99.80919
09/07/2026 14:02:04,21.54,15.38,4.62,3.08,6.15,6.15,27.69,7.69,13.85,27.69,7.69,4.62,12.18,27.69,13.4893951,3140,518,1686,722,16.88889,2.408271,1.24375,1686,165,16.88889,0.374430954,1.24375,3818,312.5,38.25,0.887574136,1.24375,3818,687,38.25,2.092462,1.2375,3818,944,38.25,2.81687665,1.2375,4017,277.5,40.25,0.7646623,1.3125,85.125,1.55,1.55,99.80918
09/07/2026 14:02:06,15.87,3.12,7.81,9.52,9.52,12.7,25.4,37.1,19.05,31.25,18.46,28.57,18.2,37.1,14.70129,2904,687,1774,252.5,17.7777786,0.457083583,1.3625,1774,339.5,17.7777786,0.739079833,1.3625,3992,486.5,40,1.22528458,1.3625,4042,1198,40.5,3.42263269,1.35625,1797,949,18,2.51520157,1.36875,4042,896,40.5,2.66686964,1.36875,85.125,1.55,1.55,99.80919
09/07/2026 14:02:08,12.5,4.62,4.69,4.62,20.31,23.44,9.38,6.25,12.5,15.15,12.5,20,12.16,23.44,13.2210226,3294,484,4042,264.5,40.5,0.822882056,1.35625,1797,169,18,0.460655361,1.38125,4042,979.5,40.5,3.09177375,1.38125,1797,194.5,18,0.557223737,1.38125,4042,706.5,40.5,2.21300387,1.38125,4042,588,40.5,1.87912333,1.36875,84.75,1.55,1.55,99.80908
09/07/2026 14:02:10,9.52,9.52,20.63,26.98,15.87,9.52,66.67,53.97,9.52,9.52,14.29,22.22,22.35,66.67,16.1821518,2762,864,1397,325.5,14,0.7529268,1.2625,1697,855,17,2.00697756,1.25,3818,387.5,38.25,0.8563755,1.25,3818,2466,38.25,5.30373859,1.25,4042,387,40.5,0.9155658,1.36875,1797,761.5,18,1.75811338,1.36875,85,1.55,1.55,99.80922
09/07/2026 14:02:12,19.05,12.7,26.98,28.57,11.11,4.76,46.03,49.21,6.35,3.17,19.05,25.4,21.03,49.21,15.0873117,3179,754,1708,504,17.11111,1.20877731,1.24375,3843,966.5,38.5,2.26585364,1.24375,1921,281.5,19.25,0.6263972,1.24375,3843,1783.5,38.5,3.83144641,1.24375,3843,197,38.5,0.419621229,1.24375,3918,792,39.25,1.75750947,1.2875,85.375,1.55,1.55,99.809166
09/07/2026 14:02:14,9.38,9.38,17.19,18.75,3.12,4.69,46.88,40.62,15.62,25,20.31,26.98,19.83,46.88,14.60321,3198,737,1708,405,17.11111,0.9650734,1.25,1708,711,17.11111,1.69297659,1.25,3843,121,38.5,0.277013749,1.25,3843,1672,38.5,3.47529554,1.25,4042,647,40.5,1.37308359,1.35625,4042,868,40.5,1.934826,1.35625,85.5,1.55,1.55,99.809166
09/07/2026 14:02:16,13.64,13.64,22.73,40.3,6.06,4.48,34.85,36.36,37.88,34.85,18.18,31.82,24.56,40.3,15.6628237,2756,818,3768,409,37.75,0.9745425,1.25,1675,897,16.7777786,2.21751618,1.25,1675,276,16.7777786,0.6965298,1.25,3768,1088,37.75,2.4605968,1.25,3768,1315.5,37.75,2.79374862,1.25,1884,920.5,18.875,2.00274825,1.25,85.625,1.55,1.55,99.80925
09/07/2026 14:02:18,9.38,6.15,7.69,9.38,9.23,3.08,17.19,18.75,32.81,33.85,40.62,43.75,19.32,43.75,14.9409275,2889,744,1710,232.5,17.88889,0.5111438,1.3625,4017,371.5,40.25,0.8984826,1.3625,4017,289,40.25,0.7084542,1.3625,4042,704.5,40.5,1.40493536,1.3625,1774,1300.5,17.7777786,2.813498,1.33125,1774,1563.5,17.7777786,3.59105325,1.33125,85.5,1.55,1.55,99.80914
