,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/08/2026 11:32:32,10.94,4.69,6.25,3.12,1.56,6.25,29.69,21.88,3.12,20,21.88,26.98,13.03,29.69,12.5127935,3253,446,1797,237.5,18,0.7098453,1.34375,1555,99,18,0.2328743,1.34375,4042,120.5,40.5,0.251533121,1.34375,4042,986.5,40.5,3.52490973,1.34375,4042,485.5,40.5,1.53732252,1.34375,4042,744,40.5,2.43556476,1.34375,74.37501,1.55,1.55,99.80922
09/08/2026 11:32:34,17.19,7.69,6.25,3.12,3.08,14.06,17.19,9.38,1.56,25,12.5,20.31,11.44,25,12.6954756,3698,447,1976,307,19.8,0.871841848,1.35625,4042,193,40.5,0.557067752,1.3625,4042,349,40.5,1.050655,1.3625,4042,465.5,40.5,1.63092756,1.3625,4042,619.5,40.5,2.04359651,1.3625,4042,750,40.5,2.5744307,1.3625,74.12501,1.55,1.55,99.809166
09/08/2026 11:32:36,6.25,6.25,12.5,0,0,6.25,9.38,0,1.56,15.62,23.44,48.44,10.81,48.44,12.7036715,2479,444,1397,210,14,0.534621835,1.33125,1797,293,18,0.897318363,1.3375,4042,113.5,40.5,0.234081715,1.3375,1797,192.5,18,0.614246368,1.3375,1797,390.5,18,1.2676543,1.3375,4042,1466.5,40.5,5.182499,1.3375,74.37501,1.55,1.55,99.80922
09/08/2026 11:32:38,12.31,0,18.46,0,3.17,21.54,40,0,6.15,15.38,24.62,4.76,12.2,40,12.9549122,2920,454,4042,159,40.5,0.400436282,1.36875,1797,270,18,0.8265617,1.36875,1797,414,18,1.3058418,1.36875,4042,846,40.5,3.01878953,1.36875,1797,426.5,18,1.23425508,1.36875,4042,611,40.5,2.083702,1.35625,74.12501,1.55,1.55,99.80923
09/08/2026 11:32:40,12.5,4.76,20.31,3.08,12.5,7.69,10.94,1.54,3.12,21.88,21.88,14.06,11.19,21.88,12.2196,3668,438,1797,359.5,18,1.03058589,1.325,4042,416.5,40.5,1.3282212,1.325,4042,353,40.5,1.0938499,1.3375,4042,206.5,40.5,0.6489706,1.3375,4042,527.5,40.5,1.72315836,1.3375,4042,767,40.5,2.5110507,1.3375,73.87501,1.55,1.55,99.8092
09/08/2026 11:32:42,17.46,3.23,22.22,1.59,8.06,9.52,9.52,0,4.76,22.22,20.63,36.51,12.98,36.51,12.7102594,2345,452,1397,167.5,14,0.443864167,1.34375,1397,270,14,0.8150988,1.34375,1397,264,14,0.736392558,1.34375,4042,284,40.5,0.894604564,1.35,4042,591,40.5,1.99334514,1.35,1797,1134.5,18,3.865418,1.35,73.75001,1.55,1.55,99.80921
09/08/2026 11:32:44,7.69,4.62,15.38,9.38,4.76,12.31,26.15,0,7.69,33.85,9.23,3.03,11.17,33.85,12.9263945,2345,445,1397,208,14,0.5418954,1.35,1397,508,14,1.65520954,1.35,1397,304,14,0.921766162,1.35,1797,506,18,1.84790277,1.35,4042,829,40.5,2.861522,1.35,4042,313.5,40.5,1.005997,1.35,74.37501,1.55,1.55,99.80916
09/08/2026 11:32:46,3.12,1.56,7.81,0,0,7.81,7.81,32.81,12.5,21.88,17.19,25,11.46,32.81,13.1938677,3893,458,3602,185,40.5,0.4598984,1.3625,3586,113.5,40.5,0.2655965,1.3625,4042,129.5,40.5,0.2908323,1.3625,4042,850.5,40.5,3.00945139,1.3625,4042,570.5,40.5,1.92829931,1.3625,4042,898.5,40.5,3.11603165,1.3625,74.75001,1.55,1.55,99.80917
09/08/2026 11:32:48,15.38,7.69,9.23,6.15,4.62,9.23,16.92,25,4.69,21.54,39.06,26.15,15.47,39.06,12.6340685,1954,450,1397,200.5,14,0.572406232,1.31875,1296,140.5,14,0.370176435,1.31875,1397,117.5,14,0.251197129,1.33125,1797,625.5,18,2.21156335,1.33125,1797,476,18,1.42899692,1.33125,4042,1141.5,40.5,3.86543751,1.33125,74.37501,1.55,1.55,99.80918
09/08/2026 11:32:50,26.56,20,23.44,32.81,18.46,24.62,10.94,17.19,18.75,10.94,15.38,14.06,19.43,32.81,16.7638988,2920,726,1797,702,18,1.93052506,1.325,1797,940.5,18,2.54878139,1.325,4042,1066,40.5,2.94691062,1.33125,1797,473,18,1.45163846,1.33125,4042,497,40.5,1.37026453,1.33125,4042,676.5,40.5,2.000871,1.33125,74.00001,1.55,1.55,99.80927
