,MolWt,MolLogP,NumHDonors,NumHAcceptors,TPSA
count,5383.0,5383.0,5383.0,5383.0,5383.0
mean,178.77438354492188,2.6514289379119873,0.34497493505477905,1.9123165607452393,26.400821685791016
std,60.81801223754883,1.470081090927124,0.8039273023605347,1.3317028284072876,21.346450805664062
min,4.002999782562256,-17.406400680541992,0.0,0.0,0.0
25%,142.24200439453125,1.8235999941825867,0.0,1.0,17.06999969482422
50%,172.2239990234375,2.597599983215332,0.0,2.0,26.299999237060547
75%,206.28500366210938,3.4498000144958496,1.0,2.0,29.459999084472656
max,1297.1280517578125,17.71430015563965,24.0,40.0,633.2000122070312
